1, 0.981, 0.756, 0.572, 0.412, 0.305, 0.089, 0.255, 0.162, 0.06
2, 0.949, 0.642, 0.369, 0.402, 0.079, 0.066, 0.101, 0.073, 0.04
3, 0.971, 0.765, 0.625, 0.355, 0.563, 0.134, 0.418, 0.188, 0.05
4, 0.983, 0.767, 0.641, 0.400, 0.503, 0.109, 0.405, 0.215, 0.07
5, 0.538, 0.169, 0.035, 0.243, 0.056, 0.049, 0.056, 0.049, 0.03
6, 0.168, 0.023, 0.008, 0.161, 0.044, 0.038, 0.044, 0.038, 0.03
7, 0.111, 0.014, 0.006, 0.154, 0.035, 0.034, 0.035, 0.034, 0.03
